name	begin	length	end	BLAST	BLAST score	refseq	reverse complement	polymerase type	polymerase type support	polymerase subtype	polymerase subtype support	capsid type	capsid type support	capsid subtype	capsid subtype support
L07418.1	0	7708	7702	Caliciviridae Norovirus GI	74.123566	NC_001959	false	GI.P2	100.0			GI.2	100.0		
FJ515294.1	0	7699	7693	Caliciviridae Norovirus GI	73.82487	NC_001959	false	GI.P2	100.0			GI.2	100.0		
JQ388274.1	0	7691	7682	Caliciviridae Norovirus GI	73.75196	NC_001959	false	GI.P11 (GI.Pb)	72.0			GI.6	100.0		
JQ911594.1	-27	7696	7657	Caliciviridae Norovirus GI	70.85704	NC_001959	false	GI.P13 (GI.Pd)	100.0			GI.3	100.0		
JX023285.1	0	7633	7633	Caliciviridae Norovirus GI	99.9869	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039725.1	4	7600	7604	Caliciviridae Norovirus GI	99.98684	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039726.1	4	7600	7604	Caliciviridae Norovirus GI	99.90789	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039727.1	4	7600	7604	Caliciviridae Norovirus GI	99.90789	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039728.1	4	7600	7604	Caliciviridae Norovirus GI	100.0	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039729.1	4	7600	7604	Caliciviridae Norovirus GI	99.98684	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039730.1	4	7600	7604	Caliciviridae Norovirus GI	99.88158	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039731.1	4	7600	7604	Caliciviridae Norovirus GI	99.97369	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039732.1	4	7600	7604	Caliciviridae Norovirus GI	99.89474	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039733.1	4	7600	7604	Caliciviridae Norovirus GI	99.86842	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039734.1	4	7600	7604	Caliciviridae Norovirus GI	99.97369	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039735.1	4	7600	7604	Caliciviridae Norovirus GI	99.97369	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039736.1	4	7600	7604	Caliciviridae Norovirus GI	100.0	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF039737.1	4	7600	7604	Caliciviridae Norovirus GI	99.89474	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF429761.1	3	7623	7626	Caliciviridae Norovirus GI	100.0	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF429765.1	4	7617	7621	Caliciviridae Norovirus GI	100.0	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF429770.1	0	7626	7626	Caliciviridae Norovirus GI	100.0	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF429773.1	0	7626	7626	Caliciviridae Norovirus GI	100.0	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF429774.1	3	7623	7626	Caliciviridae Norovirus GI	100.0	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF429783.1	3	7617	7620	Caliciviridae Norovirus GI	100.0	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF429789.1	3	7623	7626	Caliciviridae Norovirus GI	100.0	NC_001959	false	GI.P1	100.0			GI.1	100.0		
KF306212.1	0	7740	7734	Caliciviridae Norovirus GI	74.24934	NC_001959	false	GI.P2	100.0			GI.2	100.0		
